,Security,SEC filings,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,CIK,Founded,beta,bookValuePerShare,currentRatio,divGrowthRate3Year,dividendAmount,dividendDate,dividendPayAmount,dividendPayDate,dividendYield,epsChange,epsChangePercentTTM,epsChangeYear,epsTTM,grossMarginMRQ,grossMarginTTM,high52,interestCoverage,low52,ltDebtToEquity,marketCap,marketCapFloat,netProfitMarginMRQ,netProfitMarginTTM,operatingMarginMRQ,operatingMarginTTM,pbRatio,pcfRatio,peRatio,pegRatio,prRatio,quickRatio,returnOnAssets,returnOnEquity,returnOnInvestment,revChangeIn,revChangeTTM,revChangeYear,sharesOutstanding,shortIntDayToCover,shortIntToFloat,symbol,totalDebtToCapital,totalDebtToEquity,vol10DayAvg,vol1DayAvg,vol3MonthAvg
CLX,The Clorox Company,reports,Consumer Staples,Household Products,"Oakland, California",1969-03-31,0000021076,1913,0.18003,50.96898,1.07861,0.0,4.44,2021-04-20 00:00:00.000,1.11,2021-05-07 00:00:00.000,2.49,0.0,5.05023,0.0,7.16306,43.45873,45.9984,239.87,11.8,176.73,334.1857,22181.75,124.1644,0.0,12.35044,0.0,15.87344,29.85135,19.57789,24.89858,4.930187,2.94892,0.70038,15.11675,128.3727,21.90263,0.0,18.17753,0.0,124372035.0,0.0,0.0,CLX,74.79172,374.5626,1134174.0,1134170.0,31265750.0
CME,CME Group Inc.,reports,Financials,Financial Exchanges & Data,"Chicago, Illinois",2006-08-11,0001156375,1848,0.43872,3.79911,1.02031,0.0,3.6,2021-06-09 00:00:00.000,0.9,2021-06-25 00:00:00.000,1.65,0.0,0.0,0.0,5.33531,0.0,0.0,218.7995,0.0,146.89,13.28978,78203.5,357.4637,45.86292,41.48392,57.85526,52.06293,2.94099,33.07541,40.81862,0.0,16.94624,0.0,1.28232,7.20738,5.22709,14.09194,0.0,0.0,359094042.0,0.0,0.0,CME,11.74246,13.31881,1559552.0,1559550.0,33964370.0
CMS,CMS Energy,reports,Utilities,Multi-Utilities,"Jackson, Michigan",1999-05-03,0000811156,1886,0.17054,6.01403,0.87106,0.0,1.74,2021-05-06 00:00:00.000,0.435,2021-05-28 00:00:00.000,2.71,0.0,20.27969,41.80782,2.86665,41.40423,37.67617,67.98,3.64662,53.185,237.6812,18568.83,287.126,16.16419,11.80751,23.28373,21.43789,3.24278,9.84248,22.37804,1.103471,2.69152,0.72998,2.84975,15.11364,3.21132,15.85095,3.74436,0.0,289459560.0,0.0,0.0,CMS,70.5789,263.9777,1729699.0,1729700.0,43872170.0
KO,Coca-Cola Company,reports,Consumer Staples,Soft Drinks,"Atlanta, Georgia",1957-03-04,0000021344,1886,0.61306,0.0,1.33034,0.0,1.68,2021-06-14 00:00:00.000,0.42,2021-07-01 00:00:00.000,3.08,0.0,0.0,0.0,1.669,61.14191,59.42033,55.495,36.48718,43.51,197.3471,235504.0,4284.085,25.0,21.61936,32.25055,27.48183,11.56801,26.87481,32.72618,0.0,7.04406,1.12677,7.85627,37.47825,10.99566,4.74974,0.0,0.0,4311680667.0,0.0,0.0,KO,66.82463,220.9924,13903150.0,13903150.0,333788520.0
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Other Services,"Teaneck, New Jersey",2006-11-17,0001058290,1994,1.16262,6.0599,2.09365,0.0,0.96,2021-05-19 00:00:00.000,0.24,2021-05-28 00:00:00.000,1.35,0.0,0.0,41.49012,2.84985,37.19609,36.83741,82.73,334.5,50.925,5.92552,37572.82,526.2504,11.47466,9.08605,15.20109,13.09722,3.40806,17.95166,24.99781,0.0,2.23276,0.0,8.97064,14.13395,10.89536,5.18642,0.0,0.0,527411884.0,0.0,0.0,CTSH,5.89991,6.26982,5110987.0,5110990.0,76006140.0
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,"New York, New York",1957-03-04,0000021665,1806,0.59071,0.0,1.00529,0.0,1.8,2021-04-20 00:00:00.000,0.45,2021-05-14 00:00:00.000,2.14,0.0,5.74107,0.0,3.10257,60.70442,60.94629,86.41,34.62069,69.1,2889.313,71255.95,844.0864,16.75875,16.98768,23.11234,23.54947,272.8032,21.06295,27.14846,4.728815,4.26223,0.63604,18.39914,3571.812,27.0039,0.46253,5.10499,0.0,845968780.0,0.0,0.0,CL,92.19633,2989.695,3993689.0,3993690.0,98975050.0
CMCSA,Comcast Corp.,reports,Communication Services,Cable & Satellite,"Philadelphia, Pennsylvania",2002-11-19,0001166691,1963,1.04006,14.75816,0.95544,0.0,1.0,2021-04-06 00:00:00.000,0.25,2021-04-28 00:00:00.000,1.82,0.0,0.06775,53.45792,2.52564,67.21559,67.60849,59.11,7.83101,37.77,112.4537,253053.5,4549.518,12.10072,11.29896,18.52233,16.97389,2.73333,10.13552,21.80833,321.89417,2.42947,0.0,4.35138,13.4604,4.92515,0.0,0.0,0.0,4584844820.0,0.0,0.0,CMCSA,53.49708,117.6138,20198865.0,20198860.0,393494200.0
CMA,Comerica Inc.,reports,Financials,Diversified Banks,"Dallas, Texas",1995-12-01,0000028412,1849,1.63472,6.09758,0.0,0.0,2.72,2021-06-14 00:00:00.000,0.68,2021-07-01 00:00:00.000,3.5,0.0,15.8323,681.3546,6.18124,0.0,0.0,79.84,0.0,31.92,34.98528,10838.14,138.8553,49.08836,30.92174,62.8331,39.13043,1.39675,11.09329,12.55897,0.79325,3.76979,0.0,1.09329,11.43799,0.0,0.0,0.0,0.0,139612779.0,0.0,0.0,CMA,0.0,34.98528,1291912.0,1291910.0,33484620.0
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",1983-08-31,0000023217,1919,0.85988,8.87168,0.79849,0.0,1.1,2021-04-29 00:00:00.000,0.275,2021-06-02 00:00:00.000,2.88,0.0,54.94611,38.00847,2.43222,27.70019,29.14831,39.34,5.54374,31.66,100.3187,18319.57,478.0971,9.38977,9.53201,16.68651,16.15004,2.22007,12.17733,15.69348,0.285616,1.56136,0.31865,5.04839,14.8496,5.92811,0.0,13.03891,0.0,479946865.0,0.0,0.0,CAG,52.55622,111.8229,2874979.0,2874980.0,73394810.0
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",1957-03-04,0001163165,2002,1.74902,0.0,2.03424,0.0,1.72,2021-05-13 00:00:00.000,0.43,2021-06-01 00:00:00.000,3.09,0.0,0.0,147.0135,0.0,40.87116,35.87208,61.14,0.0,27.53,44.81057,75095.14,1348.13,9.99389,0.16925,15.56076,0.0,1.74013,12.44533,0.0,0.0,3.3447,1.8814,0.0511,0.05371,0.05613,78.94737,0.0,0.0,1349418454.0,0.0,0.0,COP,31.69732,46.40714,8647320.0,8647320.0,209204950.0
ED,Consolidated Edison,reports,Utilities,Electric Utilities,"New York, New York",0001047862,1823,,0.15149,4.34733,0.69934,0.0,3.1,2021-05-18 00:00:00.000,0.775,2021-06-15 00:00:00.000,3.93,0.0,0.0,8.99673,3.38591,53.20012,54.55694,83.9247,4.0566,65.56,108.3171,27068.54,342.2593,11.42236,9.24423,18.71091,19.97005,1.41882,8.67581,23.32017,0.0,2.13323,0.64766,1.93153,6.1404,2.16955,24.22297,3.21295,0.0,342813258.0,0.0,0.0,ED,55.41528,125.9181,2295403.0,2295400.0,53049870.0
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,"Victor, New York",2005-07-01,0000016918,1945,1.19692,16.41382,2.39894,0.0,3.04,2021-05-03 00:00:00.000,0.76,2021-05-18 00:00:00.000,1.28,0.0,9460.589,0.0,9.02548,50.8807,51.84042,244.75,7.87,160.6296,76.57311,45902.11,154.1633,20.0,23.58472,28.43318,32.24994,3.3745,19.73775,26.29001,0.002779,5.32822,1.38161,7.46601,15.53009,8.09895,0.0,3.25283,0.0,170152810.0,0.0,0.0,STZ,42.84653,76.78783,1428422.0,1428420.0,22981880.0
COO,The Cooper Companies,reports,Health Care,Health Care Supplies,"San Ramon, California",2016-09-23,0000711404,1958,0.8301,7.10545,1.34963,0.0,0.06,2021-01-21 00:00:00.000,0.03,2021-02-09 00:00:00.000,0.02,0.0,402.9185,2221.652,45.26201,66.23071,63.24031,415.96,0.0,268.92,23.60552,19091.75,48.87059,308.7583,91.22992,19.60323,13.55265,3.18412,7.51348,8.58181,0.021299,7.7445,0.75616,29.07488,46.27382,33.46676,0.0,0.0,0.0,49151068.0,0.0,0.0,COO,23.25069,30.29534,270198.0,270200.0,6066700.0
CPRT,Copart Inc,reports,Industrials,Diversified Support Services,"Dallas, Texas",2018-07-02,0000900075,1982,1.02704,21.39228,3.63004,0.0,0.0, ,0.0, ,0.0,0.0,22.28321,93.14579,3.52644,51.96019,50.05139,130.96,61.37505,78.55,12.23721,30016.98,210.6978,39.07782,34.25958,44.70725,42.13906,9.23777,31.05342,36.01933,1.616434,12.15489,3.53507,22.7326,30.59655,25.09088,18.94216,11.11546,0.0,236316965.0,0.0,0.0,CPRT,10.90299,12.23721,1049484.0,1049480.0,24115330.0
GLW,Corning Inc.,reports,Information Technology,Electronic Components,"Corning, New York",0000024741,1851,,1.16226,0.83153,2.30658,0.0,0.96,2021-05-27 00:00:00.000,0.24,2021-06-29 00:00:00.000,2.21,0.0,281.3391,524.3461,1.31337,35.13678,33.81413,46.82,0.0,20.99,57.22193,37059.56,768.8719,18.20669,9.89182,15.25836,13.35847,3.02024,14.20451,33.14374,0.117807,3.03717,1.6345,4.16193,10.57853,4.73148,0.0,10.10648,0.0,851356832.0,0.0,0.0,GLW,36.53216,58.37385,4047209.0,4047210.0,99948800.0
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals,"Wilmington, Delaware",2019-06-03,0001755672,2019,0.0,0.0,1.67085,0.0,0.52,2021-05-13 00:00:00.000,0.13,2021-06-15 00:00:00.000,1.16,0.0,502.775,125.9656,1.43147,42.07755,40.0374,49.98,31.16667,24.25,4.49099,32948.41,736.3986,14.67209,7.53515,11.03399,4.12771,1.34497,14.41313,31.22664,0.062109,2.2819,1.19069,2.54423,4.44555,3.25578,30.27752,0.22907,0.0,737101000.0,0.0,0.0,CTVA,8.56827,9.46287,4201551.0,4201550.0,71972180.0
COST,Costco Wholesale Corp.,reports,Consumer Staples,Hypermarkets & Super Centers,"Issaquah, Washington",1993-10-01,0000909832,1976,0.64692,11.31694,0.99036,0.0,3.16,2021-04-29 00:00:00.000,0.79,2021-05-14 00:00:00.000,0.83,0.0,15.69326,1.97175,9.77733,12.71192,13.18285,393.15,52.86667,293.8394,48.05776,168481.5,441.5687,2.16891,2.46773,2.99314,3.29067,10.76714,27.55216,38.93906,2.48126,0.94321,0.46842,8.50145,26.92618,16.45421,3.61276,12.80455,0.0,442533785.0,0.0,0.0,COST,32.07698,48.66471,1849110.0,1849110.0,59922650.0
CCI,Crown Castle,reports,Real Estate,Specialized REITs,"Houston, Texas",2012-03-14,0001051470,1994,0.37349,0.66121,0.60838,0.0,5.32,2021-03-12 00:00:00.000,1.33,2021-03-31 00:00:00.000,2.87,0.0,26.72432,0.0,2.24041,68.88889,66.85298,189.59,2.66864,146.145,220.9235,80192.79,429.7698,8.14815,16.80217,20.53872,28.94648,8.98326,31.07043,82.81966,3.099037,13.58279,0.0,2.56437,10.12392,2.72655,0.0,2.21607,0.0,432189646.0,0.0,0.0,CCI,69.01198,222.7054,1419183.0,1419180.0,42619930.0
CSX,CSX Corp.,reports,Industrials,Railroads,"Jacksonville, Florida",1967-09-30,0000277948,1980,1.16567,6.88258,2.39167,0.0,1.12,2021-05-27 00:00:00.000,0.28,2021-06-15 00:00:00.000,1.14,0.0,0.0,0.0,3.53014,76.57305,78.76862,104.87,5.9837,65.37,123.9906,74444.87,756.3536,25.09776,25.62375,39.13971,40.65079,5.66077,18.22396,27.84309,0.0,7.06241,2.22611,6.87925,21.589,7.25208,0.0,0.0,0.0,757400216.0,0.0,0.0,CSX,55.40041,124.3023,4093758.0,4093760.0,77992940.0
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,"Columbus, Indiana",1965-03-31,0000026172,1919,1.07552,5.25952,1.82012,0.0,5.4,2021-05-20 00:00:00.000,1.35,2021-06-03 00:00:00.000,2.1,0.0,0.0,19.11797,12.65127,24.39265,24.34425,277.09,0.0,154.67,44.64176,37543.36,145.5536,10.02955,9.06567,13.29613,11.70304,4.62976,14.614,20.29757,0.0,1.79702,1.25661,8.80152,24.78751,13.76253,4.494,0.0,0.0,146202578.0,0.0,0.0,CMI,31.17665,50.45012,899805.0,899810.0,21687940.0
CVS,CVS Health,reports,Health Care,Health Care Services,"Woonsocket, Rhode Island",1957-03-04,0000064803,1996,0.78368,9.41128,0.92704,0.0,2.0,2021-04-22 00:00:00.000,0.5,2021-05-03 00:00:00.000,2.23,0.0,1.82105,9.92397,5.62376,40.81653,39.29931,90.2,5.50685,55.36,83.65561,118241.0,1314.192,3.21866,2.73494,5.17678,4.64493,1.66437,9.94123,15.96974,8.769523,0.43624,0.63392,3.22133,10.88904,4.36145,0.0,3.49886,0.0,1316567871.0,0.0,0.0,CVS,46.53665,87.42978,9229534.0,9229530.0,155722200.0
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,"Arlington, Texas",2005-06-22,0000882184,1978,1.65973,15.26192,0.0,0.0,0.8,2021-05-07 00:00:00.000,0.2,2021-05-20 00:00:00.000,0.88,0.0,70.325,94.08391,8.62955,27.90799,26.35681,106.89,312.5789,50.93,21.93534,32634.57,319.8933,14.48603,13.21109,18.30182,16.76706,2.51747,9.96749,10.4907,0.149175,1.35018,0.0,16.71229,27.16354,21.76472,8.6544,30.89316,0.0,360483527.0,0.0,0.0,DHI,25.19847,34.50024,4255726.0,4255730.0,71097960.0
DHR,Danaher Corp.,reports,Health Care,Health Care Equipment,"Washington, D.C.",0000313616,1969,,0.69897,10.14896,2.05334,0.0,0.84,2021-06-24 00:00:00.000,0.21,2021-07-30 00:00:00.000,0.33,0.0,75.58647,181.1394,6.34947,62.01516,57.60417,261.4267,0.0,155.61,50.14226,180152.8,632.6023,24.81773,19.16577,29.30884,24.08373,4.84799,27.40092,39.77812,0.52626,7.26455,1.69812,6.58496,13.79895,7.3663,1.4452,37.51268,0.0,713278866.0,0.0,0.0,DHR,33.40142,50.167,1797793.0,1797790.0,51933380.0
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,"Orlando, Florida",0000940944,1938,,1.53704,0.0,0.7898,0.0,3.52,2021-04-08 00:00:00.000,0.88,2021-04-08 00:00:00.000,2.49,0.0,0.0,0.0,0.0,19.46913,15.59075,149.73,9.94079,68.68,55.12716,18417.41,129.8109,7.45528,0.0,8.5401,0.0,7.15101,131.647,0.0,0.0,2.97679,0.67549,0.0,0.0,0.0,4.61817,0.0,0.0,130842674.0,0.0,0.0,DRI,35.62859,55.34848,1423324.0,1423320.0,32806540.0
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,"Denver, Colorado",2008-07-31,0000927066,1979,1.28184,0.0,1.67047,0.0,0.0, ,0.0, ,0.0,0.0,14.37926,15.23761,6.6617,31.26492,31.0327,129.59,7.37065,75.3,707.4531,13013.75,103.085,10.33847,8.82928,15.6951,13.75434,10.513,7.84236,18.3947,1.279252,1.12875,1.62022,5.77671,49.50544,7.33393,0.0,0.37229,0.0,106200000.0,0.0,0.0,DVA,76.38118,720.9288,515077.0,515080.0,14584900.0
DE,Deere & Co.,reports,Industrials,Agricultural & Farm Machinery,"Moline, Illinois",1957-03-04,0000315189,1837,1.05401,14.13697,0.0,0.0,3.6,2021-03-30 00:00:00.000,0.9,2021-05-10 00:00:00.000,1.0,0.0,68.67061,169.6215,14.50886,34.25112,34.95455,400.3399,9.62687,138.76,220.9515,112759.7,313.0296,14.77857,11.55275,21.39658,18.41259,7.47148,16.81474,24.79519,0.361074,2.83131,0.0,5.88721,34.00356,8.61465,32.33099,8.08772,0.0,313438923.0,0.0,0.0,DE,75.83054,313.8285,1964762.0,1964760.0,36919550.0
DAL,Delta Air Lines Inc.,reports,Industrials,Airlines,"Atlanta, Georgia",2013-09-11,0000027904,1929,1.46158,0.0,0.86296,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,0.0,12.0,10.06876,52.28,0.0,22.23,5406.847,28918.44,637.7837,0.0,0.0,0.0,0.0,59.99812,0.0,0.0,0.0,2.2855,0.82294,0.0,0.0,0.0,4.45507,0.0,0.0,639646873.0,0.0,0.0,DAL,98.36754,6025.726,11423974.0,11423970.0,277490060.0
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,"Charlotte, North Carolina",2008-11-14,0000818479,2016 (1969),0.93235,6.35742,1.39934,0.0,0.4,2021-03-25 00:00:00.000,0.1,2021-04-09 00:00:00.000,0.59,0.0,115.9359,184.0112,0.79188,56.3778,50.59662,69.54,11.21429,40.15,39.02984,14732.11,217.6167,11.39241,4.97611,14.99513,7.63442,2.98846,28.52296,85.21493,0.735018,4.21556,0.9868,2.02263,3.61745,2.30542,0.0,0.0,0.0,218318121.0,0.0,0.0,XRAY,31.34661,45.68703,1459569.0,1459570.0,37294220.0
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma",2000-08-30,0001090012,1971,3.33839,0.0,1.17725,0.0,0.44,2021-06-11 00:00:00.000,0.11,2021-06-30 00:00:00.000,1.74,0.0,47.65497,107.2218,0.0,72.24745,71.2636,27.435,1.66346,7.73,87.22615,17159.41,630.5952,12.2588,0.0,2.04313,0.0,2.04852,23.53829,0.0,0.0,3.81066,0.0,0.0,0.0,0.0,37.65625,0.0,0.0,676900000.0,0.0,0.0,DVN,46.98238,90.02754,11424562.0,11424560.0,256773320.0
DXCM,DexCom,reports,Health Care,Health Care Equipment,"San Diego, California",2020-05-12,0001093557,1999,0.77007,47.66129,5.70286,0.0,0.0, ,0.0, ,0.0,0.0,225.6273,91.7108,5.18542,68.09901,68.42988,456.23,1.8583,305.63,91.5826,33082.11,96.19631,7.9802,25.36268,9.08911,15.09425,17.38131,56.16657,65.97151,0.292392,16.32395,5.22331,15.0343,36.22652,17.45094,0.0,26.61502,0.0,96705873.0,0.0,0.0,DXCM,47.80319,91.5826,894185.0,894190.0,16838450.0
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production,"Midland, Texas",2018-12-03,0001539838,2007,2.7494,14.64724,0.45557,0.0,1.6,2021-05-12 00:00:00.000,0.4,2021-05-20 00:00:00.000,2.1,0.0,0.0,146.818,0.0,80.06757,72.75662,88.75,2.91031,23.63,69.94285,13811.91,179.6965,18.83446,0.0,43.07432,0.0,1.294,0.0,0.0,0.0,4.45833,0.42773,0.0,0.0,0.0,53.96619,0.0,0.0,180997368.0,0.0,0.0,FANG,39.65196,71.73241,2638192.0,2638190.0,61434270.0
DLR,Digital Realty Trust Inc,reports,Real Estate,Specialized REITs,"Austin, Texas",2016-05-18,0001297996,2004,0.11636,15.50847,0.0,0.0,4.64,2021-06-14 00:00:00.000,1.16,2021-06-30 00:00:00.000,3.07,0.0,0.0,46.173,1.53814,65.47275,62.13504,165.49,1.95182,124.65,75.2215,42491.58,281.0916,36.19582,12.67683,15.97335,12.68542,2.54661,22.50675,98.1055,0.0,10.18821,0.0,1.54017,2.73128,1.73468,2.61451,29.60166,0.0,281587692.0,0.0,0.0,DLR,41.89599,75.2215,949988.0,949990.0,32199230.0
DFS,Discover Financial Services,reports,Financials,Consumer Finance,"Riverwoods, Illinois",2007-07-02,0001393612,1985,1.83132,5.83203,0.0,0.0,1.76,2021-05-19 00:00:00.000,0.44,2021-06-03 00:00:00.000,1.54,0.0,32.6603,2088.482,8.87378,0.0,0.0,121.435,0.0,39.76,138.3577,34748.03,301.773,56.99463,25.42065,0.0,0.0,3.14229,10.78462,12.84346,0.393244,3.16035,0.0,2.46769,26.9604,0.0,0.0,0.0,0.0,304887527.0,0.0,0.0,DFS,0.0,172.8731,1708379.0,1708380.0,47890260.0
DISCA,"Discovery, Inc. (Series A)",reports,Communication Services,Broadcasting,"New York, New York",2010-03-01,0001437107,1985,1.39725,10.50293,1.86665,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,1.47099,65.2937,64.15584,78.14,4.28125,19.07,135.6912,15376.46,479.7293,6.84097,10.56586,14.07593,18.86827,1.47238,2.80541,21.39376,0.0,1.42639,0.0,3.39924,7.28617,3.97529,0.0,0.0,0.0,168654015.0,0.0,0.0,DISCA,54.44006,138.9367,20636438.0,20636440.0,366338090.0
DISCK,"Discovery, Inc. (Series C)",reports,Communication Services,Broadcasting,"New York, New York",2014-08-07,0001437107,1985,1.39725,10.50293,1.86665,0.0,0.0, ,0.0, ,0.0,0.0,0.0,0.0,1.47099,65.2937,64.15584,66.6995,4.28125,17.21,135.6912,15376.46,479.7293,6.84097,10.56586,14.07593,18.86827,1.47238,2.80541,21.39376,0.0,1.42639,0.0,3.39924,7.28617,3.97529,0.0,0.0,0.0,330146263.0,0.0,0.0,DISCK,54.44006,138.9367,10251082.0,20636440.0,366338090.0
DISH,Dish Network,reports,Communication Services,Cable & Satellite,"Meridian, Colorado",2017-03-13,0001001082,1980,2.14952,34.68105,1.12072,0.0,0.0, ,0.0, ,0.0,0.0,86.25139,690.9171,3.8774,34.16401,34.40142,47.05,181.2908,24.51,107.4708,23229.55,248.0755,14.26376,14.40468,19.16417,19.67648,1.70022,7.36431,11.36071,0.131716,1.38486,1.05621,6.6667,18.32239,7.90894,0.0,30.65892,0.0,288909818.0,0.0,0.0,DISH,54.1423,121.1983,2737217.0,2737220.0,83483650.0
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores,"Goodlettsville, Tennessee",2012-12-03,0000029534,1939,0.52338,8.08033,1.21073,0.0,1.68,2021-04-05 00:00:00.000,0.42,2021-04-20 00:00:00.000,0.82,0.0,59.75874,24.79665,10.61223,32.52347,31.76257,225.25,21.66047,173.5,62.01512,49058.74,238.6647,7.6385,7.86755,10.3657,10.53362,7.41162,15.19182,19.3211,0.323318,1.45373,0.29186,10.90645,39.73514,13.81618,2.62084,21.59282,0.0,239264252.0,0.0,0.0,DG,38.27737,62.01512,1912570.0,1912570.0,51621340.0
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores,"Chesapeake, Virginia",2011-12-19,0000935703,1986,0.8649,10.72628,1.35399,0.0,0.0, ,0.0, ,0.0,0.0,63.12016,313.1122,5.66071,31.80898,30.53122,120.37,20.95614,78.825,44.28369,25408.76,231.0157,7.42919,5.26043,10.07107,7.40083,3.47834,12.52589,19.18134,0.303886,0.99606,0.4353,6.66442,19.82112,8.13426,9.56613,8.04081,0.0,233421645.0,0.0,0.0,DLTR,30.6921,44.28369,1499794.0,1499790.0,37376540.0
D,Dominion Energy,reports,Utilities,Electric Utilities,"Richmond, Virginia",0000715957,1983,,0.35826,8.80597,0.56286,0.0,2.52,2021-06-03 00:00:00.000,0.63,2021-06-20 00:00:00.000,3.22,0.0,149.8942,471.3461,3.23563,45.4643,47.29993,87.34,18.35849,67.85,124.529,63094.4,804.2752,25.323,18.8026,22.68734,16.99395,2.59351,11.99513,24.17767,0.161298,4.65779,0.43815,2.53649,10.05109,2.89136,9.91196,0.0,0.0,806524337.0,0.0,0.0,D,58.87131,144.9567,3734697.0,3734700.0,83134230.0
DPZ,Domino's Pizza,reports,Consumer Discretionary,Restaurants,"Ann Arbor, Michigan",2020-05-12,0001286681,1960,0.48084,0.0,1.84483,0.0,3.76,2021-06-14 00:00:00.000,0.94,2021-06-30 00:00:00.000,0.88,0.0,18.08478,0.0,12.33647,39.56001,38.87144,447.5,4.73855,319.71,0.0,16604.96,38.55537,11.97126,11.52919,18.96293,17.88895,0.0,29.92284,34.66551,1.916833,3.92737,1.71775,31.93591,0.0,46.45295,0.0,15.64846,0.0,38828393.0,0.0,0.0,DPZ,466.1929,0.0,821469.0,821470.0,15356580.0
DOV,Dover Corporation,reports,Industrials,Industrial Machinery,"Downers Grove, Illinois",1985-10-31,0000029905,1955,1.37079,0.05261,1.58564,0.0,1.98,2021-05-27 00:00:00.000,0.495,2021-06-15 00:00:00.000,1.34,0.0,0.0,33.14588,5.09955,38.83798,37.77101,155.77,12.20155,89.13,87.54638,21340.1,142.5824,12.46153,10.73044,16.73269,14.77578,6.09866,20.839,29.07511,0.0,3.09469,1.07836,8.12446,22.8383,10.31606,4.91527,0.0,0.0,143927272.0,0.0,0.0,DOV,46.67986,87.54638,589286.0,589290.0,15777040.0
DOW,Dow Inc.,reports,Materials,Commodity Chemicals,"Midland, Michigan",2019-04-01,0001751788,2019,0.0,0.0,1.68778,0.0,2.8,2021-05-27 00:00:00.000,0.7,2021-06-11 00:00:00.000,4.07,0.0,216.7967,313.791,2.62392,15.31729,13.52142,71.38,0.0,35.37,115.6895,51415.29,745.933,8.46659,5.02288,9.75425,4.97614,3.67173,10.47368,26.23174,0.120997,1.2647,1.1455,3.37178,14.64194,4.1873,10.98449,0.0,0.0,746989442.0,0.0,0.0,DOW,53.63136,120.2885,4201614.0,4201610.0,98731370.0
DTE,DTE Energy Co.,reports,Utilities,Multi-Utilities,"Detroit, Michigan",1957-03-04,0000936340,1995,0.63307,5.5797,1.68632,0.0,4.34,2021-06-18 00:00:00.000,1.085,2021-07-15 00:00:00.000,3.09,0.0,24.90916,15.90141,7.34582,0.0,0.0,145.43,3.82857,100.82,159.2814,27251.63,192.4709,10.50821,11.02606,14.21387,15.27101,2.1711,9.44925,19.14967,0.76878,2.10714,1.43044,3.17132,11.68458,3.43465,14.90268,6.20843,0.0,193727361.0,0.0,0.0,DTE,61.73709,163.4321,1032394.0,1032390.0,19924360.0
DUK,Duke Energy,reports,Utilities,Electric Utilities,"Charlotte, North Carolina",1976-06-30,0001326160,1904,0.24132,1.55431,0.49086,0.0,3.86,2021-05-13 00:00:00.000,0.965,2021-06-16 00:00:00.000,3.75,0.0,0.0,1.45726,1.73574,49.25203,48.99248,108.0,2.62681,77.58,113.6596,79121.86,768.3715,15.30081,4.67822,23.57724,18.75857,1.71122,12.00817,59.26003,0.0,3.28729,0.31339,0.69606,2.8887,0.78086,6.45664,0.0,0.0,769218956.0,0.0,0.0,DUK,56.46937,133.6861,4492562.0,4492560.0,78991060.0
DRE,Duke Realty Corp,reports,Real Estate,Industrial REITs,"Indianapolis, Indiana",2017-07-26,0000783280,1972,0.53321,8.46147,0.0,0.0,1.02,2021-05-13 00:00:00.000,0.255,2021-06-01 00:00:00.000,2.23,0.0,0.0,308.4543,0.96055,64.83795,68.4449,46.855,11.88296,32.48,68.9238,17125.58,374.444,27.72424,34.39388,37.13618,43.08588,3.2995,25.64174,47.54568,0.0,16.21554,0.0,4.06543,7.06642,4.22486,8.63795,12.93008,0.0,374985270.0,0.0,0.0,DRE,40.44045,68.9238,1978402.0,1978400.0,44031730.0
DD,DuPont de Nemours Inc,reports,Materials,Specialty Chemicals,"Wilmington, Delaware",2019-04-02,0001666700,2017,1.56925,0.0,2.21281,0.0,1.2,2021-05-27 00:00:00.000,0.3,2021-06-15 00:00:00.000,1.43,0.0,0.0,217.6572,0.0,36.82093,33.60485,87.27,5.26772,47.7,39.07974,44763.81,531.6193,13.60664,0.0,17.30382,0.0,1.64629,45.21597,0.0,0.0,2.33729,1.77184,0.0,0.0,0.0,0.0,0.0,0.0,532142336.0,0.0,0.0,DD,31.29913,46.42489,3765253.0,3765250.0,76389200.0
